Epoch: 0	,Training loss (MRSE): 1.00042	,Validation loss (MRSE): 1.00816	,Training loss (MSE): 1.52893e+17	,Validation loss (MSE): 1.93035e+17	,Training accuracy (MAE): -6.03935e+07	,Validation accuracy (MAE): -7.46089e+07	,Training accuracy (MRAE): -0.000208285	,Validation accuracy (MRAE): -0.00400604
Epoch: 8	,Training loss (MRSE): 0.715914	,Validation loss (MRSE): 0.800852	,Training loss (MSE): 1.52824e+17	,Validation loss (MSE): 1.93029e+17	,Training accuracy (MAE): -6.03185e+07	,Validation accuracy (MAE): -7.46629e+07	,Training accuracy (MRAE): 0.188849	,Validation accuracy (MRAE): 0.13066
Epoch: 16	,Training loss (MRSE): 0.669129	,Validation loss (MRSE): 0.789504	,Training loss (MSE): 1.68956e+17	,Validation loss (MSE): 1.93348e+17	,Training accuracy (MAE): -7.19091e+07	,Validation accuracy (MAE): -7.86817e+07	,Training accuracy (MRAE): 0.231469	,Validation accuracy (MRAE): 0.150323
Epoch: 24	,Training loss (MRSE): 0.645597	,Validation loss (MRSE): 0.810031	,Training loss (MSE): 1.52079e+17	,Validation loss (MSE): 1.93022e+17	,Training accuracy (MAE): -5.9947e+07	,Validation accuracy (MAE): -7.47068e+07	,Training accuracy (MRAE): 0.228171	,Validation accuracy (MRAE): 0.121231
Epoch: 32	,Training loss (MRSE): 0.550577	,Validation loss (MRSE): 0.793541	,Training loss (MSE): 1.29083e+17	,Validation loss (MSE): 1.93014e+17	,Training accuracy (MAE): -5.31091e+07	,Validation accuracy (MAE): -7.47257e+07	,Training accuracy (MRAE): 0.30214	,Validation accuracy (MRAE): 0.136077
Epoch: 40	,Training loss (MRSE): 0.463256	,Validation loss (MRSE): 0.785807	,Training loss (MSE): 9.51431e+16	,Validation loss (MSE): 1.92997e+17	,Training accuracy (MAE): -4.28382e+07	,Validation accuracy (MAE): -7.5021e+07	,Training accuracy (MRAE): 0.401635	,Validation accuracy (MRAE): 0.154623
Epoch: 48	,Training loss (MRSE): 0.439199	,Validation loss (MRSE): 0.785193	,Training loss (MSE): 8.29869e+16	,Validation loss (MSE): 1.92972e+17	,Training accuracy (MAE): -4.38283e+07	,Validation accuracy (MAE): -7.51004e+07	,Training accuracy (MRAE): 0.411745	,Validation accuracy (MRAE): 0.150363
Epoch: 56	,Training loss (MRSE): 0.37782	,Validation loss (MRSE): 0.784442	,Training loss (MSE): 4.76811e+16	,Validation loss (MSE): 1.93014e+17	,Training accuracy (MAE): -2.96065e+07	,Validation accuracy (MAE): -7.48652e+07	,Training accuracy (MRAE): 0.477471	,Validation accuracy (MRAE): 0.149375
Epoch: 64	,Training loss (MRSE): 0.423093	,Validation loss (MRSE): 0.797521	,Training loss (MSE): 2.78102e+17	,Validation loss (MSE): 1.93004e+17	,Training accuracy (MAE): -7.12886e+07	,Validation accuracy (MAE): -7.54957e+07	,Training accuracy (MRAE): 0.412661	,Validation accuracy (MRAE): 0.13921
Epoch: 72	,Training loss (MRSE): 0.332988	,Validation loss (MRSE): 0.782673	,Training loss (MSE): 3.91419e+16	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -2.60627e+07	,Validation accuracy (MAE): -7.51187e+07	,Training accuracy (MRAE): 0.516273	,Validation accuracy (MRAE): 0.149895
Epoch: 80	,Training loss (MRSE): 0.339046	,Validation loss (MRSE): 0.778102	,Training loss (MSE): 7.86971e+16	,Validation loss (MSE): 1.92941e+17	,Training accuracy (MAE): -3.92195e+07	,Validation accuracy (MAE): -7.50927e+07	,Training accuracy (MRAE): 0.502157	,Validation accuracy (MRAE): 0.151909
